csv_row_num,date,time,subject,type_label,matched_broadcast_id,matched_subject,matched_time,time_diff_sec,current_description,update_action,update_status,http_status,error
132,2025-04-28,14:30:20,You’ve blown me away!,Value,19250428,You’ve blown me away!,14:30:55,35,Value,already_set_correct,no_update,,
133,2025-04-24,15:00:28,I have bad news,Post-Sales,19207910,I have bad news,15:01:52,84,,update_attempted,failed,422,"{""errors"":[""Broadcast has already been sent.""]}"
134,2025-04-24,13:18:07,5 spots left...,Post-Sales,19206672,5 spots left...,13:18:11,4,,update_attempted,failed,422,"{""errors"":[""Broadcast has already been sent.""]}"
135,2025-04-23,20:45:10,quick heads up...,Post-Sales,19197780,quick heads up...,20:45:12,2,,update_attempted,failed,422,"{""errors"":[""Broadcast has already been sent.""]}"
136,2025-04-23,14:15:12,Why I’m launching the AI Agent Bootcamp,Post-Sales,19192622,Why I’m launching the AI Agent Bootcamp,14:15:51,39,Post-Sales,already_set_correct,no_update,,
137,2025-04-23,19:11:00,Here’s what’s happening tomorrow...,Post-Sales,19192753,Here’s what’s happening tomorrow...,19:11:01,1,,update_attempted,failed,422,"{""errors"":[""Broadcast has already been sent.""]}"
138,2025-04-22,20:44:14,Important update,Post-Sales,19183929,Important update…,20:44:16,2,,update_attempted,failed,422,"{""errors"":[""Broadcast has already been sent.""]}"
139,2025-04-22,20:14:05,Why I’m launching the AI Agent Bootcamp,Post-Sales,19178556,Why I’m launching the AI Agent Bootcamp,20:14:11,6,Post-Sales,already_set_correct,no_update,,
140,2025-04-22,15:00:49,Bootcamp Your early-bird invite is enclosed inside (Cohort 1),Launch Email (Cohort),19178561,Your early-bird invite is enclosed inside,15:03:54,185,,update_attempted,failed,422,"{""errors"":[""Broadcast has already been sent.""]}"
141,2025-04-21,15:15:10,I need to apologize in advance,Pre-Sales,19164118,I need to apologize in advance,15:16:03,53,,update_attempted,failed,422,"{""errors"":[""Broadcast has already been sent.""]}"
142,2025-04-21,15:05:07,I need to apologize in advance,Pre-Sales,19163995,I need to apologize in advance,15:05:12,5,,update_attempted,failed,422,"{""errors"":[""Broadcast has already been sent.""]}"
143,2025-04-19,23:38:53,Livestream Delayed By 24 Hours,Livestream,19151050,🐙 Livestream Delayed By 24 Hours,23:38:56,3,,update_attempted,failed,422,"{""errors"":[""Broadcast has already been sent.""]}"
144,2025-04-18,16:33:27,The top 3 mistakes people make building AI agents,Pre-Sales,19139917,The top 3 mistakes people make building AI agents,16:34:17,50,,update_attempted,failed,422,"{""errors"":[""Broadcast has already been sent.""]}"
145,2025-04-18,16:36:16,The top 3 mistakes people make building AI agents,Pre-Sales,19140505,The top 3 mistakes people make building AI agents,16:36:17,1,,update_attempted,failed,422,"{""errors"":[""Broadcast has already been sent.""]}"
146,2025-04-17,16:19:10,How to build AI agents,Livestream,19127760,How to build AI agents,16:20:53,103,,update_attempted,failed,422,"{""errors"":[""Broadcast has already been sent.""]}"
147,2025-04-15,14:25:15,Struggling to keep up with AI? Do this instead:,Pre-Sales,18795752,Struggling to keep up with AI? Do this instead:,14:25:45,30,Pre-Sales,already_set_correct,no_update,,
148,2025-04-15,14:10:03,Struggling to keep up with AI? Do this instead:,Pre-Sales,19096531,Struggling to keep up with AI? Do this instead:,14:10:10,7,Pre-Sales,already_set_correct,no_update,,
149,2025-04-12,14:15:04,Vibe Coding 101 workshop happening today,Livestream,19021981,Vibe Coding 101 workshop happening today,14:15:44,40,,update_attempted,failed,422,"{""errors"":[""Broadcast has already been sent.""]}"
150,2025-04-10,14:15:05,How to code using AI,Livestream,19021920,How to code using AI,14:15:14,9,Livestream,already_set_correct,no_update,,
151,2025-04-08,14:15:07,Leaked AI memo from Shopify CEO,Pre-Sales,19010267,Leaked AI memo from Shopify CEO,14:15:13,6,Pre-Sales,already_set_correct,no_update,,
152,2025-04-08,14:05:05,Leaked AI memo from Shopify CEO,Pre-Sales,19010338,Leaked AI memo from Shopify CEO,14:05:10,5,Pre-Sales,already_set_correct,no_update,,
153,2025-04-05,14:30:15,An unconventional book on making better AI agents,Pre-Sales,18795741,An unconventional book on making better AI agents,14:31:40,85,Pre-Sales,already_set_correct,no_update,,
154,2025-04-03,14:15:12,A tiny life change that’s made me more productive,Pre-Sales,18795726,A tiny life change that’s made me more productive,14:16:19,67,Pre-Sales,already_set_correct,no_update,,
